iter	Passed	Remaining
412	3806	5410
413	3815	5401
414	3825	5392
415	3834	5382
416	3843	5373
417	3853	5364
418	3861	5355
419	3870	5345
420	3879	5335
421	3888	5325
422	3897	5316
423	3907	5307
424	3916	5299
425	3925	5289
426	3935	5281
427	3945	5272
428	3955	5264
429	3964	5254
430	3973	5245
431	3981	5235
432	3990	5225
433	3999	5215
434	4007	5205
435	4016	5196
436	4025	5185
437	4034	5177
438	4043	5167
439	4053	5158
440	4062	5149
441	4071	5140
442	4080	5130
443	4088	5120
444	4097	5110
445	4106	5100
446	4115	5090
447	4124	5081
448	4132	5071
449	4142	5063
450	4152	5055
451	4161	5045
452	4170	5035
453	4178	5025
454	4188	5016
455	4197	5007
456	4208	5000
457	4219	4993
458	4230	4985
459	4239	4976
460	4249	4968
461	4258	4959
462	4269	4952
463	4278	4942
464	4287	4933
465	4296	4923
466	4305	4914
467	4314	4904
468	4322	4894
469	4332	4885
470	4341	4875
471	4350	4866
472	4360	4858
473	4369	4849
474	4378	4839
475	4387	4829
476	4396	4820
477	4405	4810
478	4414	4801
479	4422	4790
480	4431	4781
481	4441	4772
482	4449	4762
483	4458	4752
484	4467	4743
485	4477	4735
486	4486	4726
487	4495	4716
488	4504	4706
489	4513	4697
490	4523	4689
491	4533	4681
492	4543	4672
493	4554	4665
494	4562	4655
495	4572	4646
496	4582	4638
497	4591	4628
498	4601	4619
499	4611	4611
500	4619	4601
501	4628	4591
502	4637	4582
503	4646	4572
504	4655	4563
505	4664	4554
506	4675	4546
507	4684	4537
508	4693	4527
509	4703	4518
510	4711	4508
511	4720	4499
512	4730	4490
513	4738	4480
514	4747	4471
515	4756	4461
516	4765	4451
517	4774	4442
518	4783	4433
519	4794	4425
520	4803	4416
521	4813	4407
522	4821	4397
523	4831	4389
524	4841	4380
525	4850	4370
526	4860	4362
527	4870	4353
528	4880	4344
529	4889	4336
530	4901	4328
531	4910	4319
532	4920	4311
533	4930	4302
534	4938	4292
535	4948	4283
536	4956	4273
537	4966	4264
538	4975	4255
539	4984	4245
540	4993	4236
541	5003	4228
542	5012	4218
543	5021	4208
544	5030	4199
545	5039	4190
546	5047	4180
547	5057	4171
548	5067	4163
549	5076	4153
550	5085	4143
551	5094	4134
